filename,topleft,topright,bottomright,bottomleft
img-20.jpg,"(70, 442)","(528, 413)","(987, 457)","(291, 594)"
img-21.jpg,"(106, 526)","(538, 505)","(985, 544)","(409, 661)"
img-22.jpg,"(143, 395)","(571, 361)","(1020, 397)","(465, 515)"
img-23.jpg,"(60, 436)","(544, 407)","(1020, 476)","(266, 673)"
img-24.jpg,"(41, 478)","(488, 434)","(999, 486)","(455, 729)"
img-25.jpg,"(58, 357)","(526, 339)","(1012, 386)","(445, 505)"
img-26.jpg,"(0, 526)","(474, 484)","(972, 575)","(278, 721)"
img-27.jpg,"(0, 380)","(440, 316)","(902, 368)","(492, 692)"
img-28.jpg,"(87, 324)","(544, 297)","(1020, 401)","(390, 588)"
img-29.jpg,"(104, 449)","(550, 430)","(1001, 492)","(314, 569)"
img-30.jpg,"(195, 480)","(569, 459)","(999, 488)","(650, 692)"
